Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Bulgaria","BGR","6421.9792664239","6958.98877892662","7786.4484224601","8416.9708650589","9201.49050249517","10291.4238650414","11408.1180610219","12819.2918198905","14346.7842204076","14181.0930945772","14954.9991114533","15739.9225794106","16319.7809828349","16651.9352006304","17619.6051941257","18392.1612374798","20080.8180795806","21473.8048126847","23011.5409053762","24411.2816301826","24799.074537596","27926.1092195085"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Belgium","BEL","27784.5715041684","28788.0628411374","30282.2886450283","30932.8525095624","32063.0803240468","33177.8909458158","35259.1867115805","36791.2004331501","37883.3319417819","37749.5095365743","39840.0881958103","40942.372710454","42290.7620520019","43671.11959259","44929.685593416","46200.904454307","48597.3999826201","50442.2705419624","52535.23221854","54278.3894505636","53096.1414224062","58905.1637841184"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Bosnia and Herzegovina","BIH","4127.08958139999","4289.9510287879","4653.1316468785","4911.41804203724","5405.56464126005","5959.02483138061","6879.3297729865","7695.24039471217","8595.75895691411","8698.42175126034","9088.31075378121","9753.58689767116","10104.3995073966","10791.4599935277","11150.0655202724","11687.2902857796","12720.5612031591","13402.4339719652","14581.3623416022","15418.97991838","15336.9107044169","17376.6082401412"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Austria","AUT","29376.0197364753","29702.7975286074","31178.6933297272","32144.2418052358","33773.825776679","35013.7140443423","37662.1851663577","39430.6091682131","41316.225176699","40918.1321224314","42009.4385277438","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49865.9039424185","52684.0171130768","54172.9867888254","56960.0914258929","58076.348801448","55685.9702933361","58430.6402512873"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Albania","ALB","3860.81988920683","4299.54649293767","4661.40269532788","5000.04936305629","5427.72278628258","5865.29135442867","6566.57282794654","7283.30398910413","8228.29073325665","8812.98443840441","9627.76572880652","10203.1200485548","10521.0427082996","10574.0936621426","11260.9980592529","11659.0625206413","12082.7424870898","12773.2683951538","13495.5418221278","13973.0458402662","13759.5424343063","15709.2512649123"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Ukraine","UKR","4260.27685546875","4789.681640625","5172.96044921875","5824.12451171875","6736.79541015625","7214.11181640625","8054.0400390625","9004.8798828125","9434.435546875","8093.5556640625","8559.9296875","9246.76953125","9705.3583984375","11111.0517578125","10743.5859375","10164.3271484375","11148.1962890625","11860.560546875","12631.6572265625","13345.3828125","13087.3095703125","14219.7900390625"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Lithuania","LTU","8445.89921321294","9436.05410916216","10480.7210077901","12067.6741095107","13030.3604109567","14510.5300945386","16483.8503582706","19094.640961399","20721.0131961211","18116.7302641547","20096.7360969805","22884.8249519631","24703.6858202502","26721.5796712844","28184.4723303858","28834.4276801135","30925.1708493589","33761.871239796","36376.1898152469","38540.7814542339","38880.5452693822","42581.2669559096"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Latvia","LVA","8039.50636620464","9044.54639240756","10081.1918636281","11060.9427198934","12278.5848367366","13913.7883003324","15859.3153882025","18236.6092064703","19573.1553855671","17023.7549183562","17706.894512358","19248.419400173","21290.4595879","22639.0683375842","23815.8000623115","24972.7860869932","26721.7261996962","28673.5633962664","30877.0419264807","31883.2591148032","31424.9022103534","34444.3120875271"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Kosovo","XKX","","","","","","","","","6545.42072569482","6863.69132006238","7230.99771880633","7780.59446355734","8039.20797587196","8383.39731100106","8649.44949912369","9357.1351357728","10007.6892341976","10436.1688459323","11012.1096634242","11796.1533099963","11292.8626513626","13055.9007751033"
,"","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 12/22/2022,"","","","","","","","","","","","","","","","","","","","","","","","",""
